id,user_referral_id,source_transaction_id,created_at,is_reward_granted
1,a7c3e871db419db565ae43bd91858df0,null,2024-05-27T03:29:09Z,FALSE
2,2bdc7e197baa5f02337643e4fe61f41b,df0d7d88d92516bbcb135d4bf08665db,2024-04-07T15:40:40Z,TRUE
3,1283879843b68e0490c653f0dbeb58e0,null,2024-08-26T20:10:44Z,FALSE
4,ba4a647dcd3ab54f84c16619d0ad0d77,2409136430f4afd29c8f57bccd14f860,2024-07-09T17:19:06Z,TRUE
5,6bdddba9487f1124e5e0a1c387787345,null,2024-03-02T11:06:02Z,FALSE
6,3d52dc7b9decbd34ae163d2d1dca0cc6,997ee038ea06d63eaa2144723f5c9769,2024-08-13T04:03:19Z,TRUE
7,a19dd8a581a946b7ffd1145bd9a90836,null,2024-08-04T16:25:17Z,FALSE
8,dbe0783ac6f0d8255dc7ab2178ef265d,null,2024-06-17T08:14:29Z,FALSE
9,1283879843b68e0490c653f0dbeb58e0,null,2024-05-18T03:14:51Z,FALSE
10,f17347a44bcfcc1495e34e4974aa6e20,null,2024-03-20T23:25:06Z,FALSE
11,1e2b526ccea4a69e752f766e269707e7,null,2024-06-18T03:36:20Z,FALSE
12,d255ea20a437e9a58f7ecc62f28bfd3a,null,2024-05-25T07:13:15Z,FALSE
13,784dc9f9e6c17182487e1c893ea30f73,d23882c52ea91423a5e6ecee7e28aeaf,2024-06-10T23:18:40Z,TRUE
14,1283879843b68e0490c653f0dbeb58e0,null,2024-03-05T20:59:49Z,FALSE
15,78f9c9b394b6e36c73533420606a0186,null,2024-07-10T07:43:41Z,FALSE
16,00820b893080806722fdb81c9254500b,null,2024-06-30T13:58:18Z,FALSE
17,39a78de1674002f30c3744f27ccab3af,null,2024-03-23T21:17:00Z,FALSE
18,3a72288f1a7fd57f9ff76f239bf8bdd1,null,2024-06-14T18:27:38Z,FALSE
19,d7273dc430112b71d14d07cb991f74fc,null,2024-04-18T04:38:40Z,FALSE
20,a19dd8a581a946b7ffd1145bd9a90836,null,2024-03-26T17:31:23Z,FALSE
21,1283879843b68e0490c653f0dbeb58e0,855260f3e0bfbeb3bddb396e4c13fd8f,2024-04-13T22:12:08Z,TRUE
22,bfbcce18ccc3e039027b2ee7ed90c065,null,2024-08-16T20:30:25Z,FALSE
